No	Hum	SC	Species
47	h	rua	Galium t.
197	h	gef	Genista t.
168	h	gec	Gentiana nivalis t.
169	h	ged	Gentiana pneumonanthe t. 
170	h	gee	Gentianella campestris t.
390	h	gea	Geranium
391	h	gm	Geum
221	h	glc	Gladiolus t.
392	h	gla	Glechoma t.
393	l	glb	Glyceria t.
394	h	gna	Gnaphalium t.
177	s	grb	Grossulariaceae
395	h	gyb	Gypsophila fastigiata
126	h	gyc	Gypsophila muralis
302	s	he	Hedera helix
198	h	hek	Hedysarum
521	n	heb	Heleopera
136	h	hej	Helianth.oeland.ssp.alp.t
470	h	hed	Helianthemum canum t.
398	h	heg	Helianthemum nummular. t.
397	h	hef	Helianthemum oelandicum t
40	h	hh	Helianthemum undiff.
114	t	heh	Habrotrocha angusticollis
613	h	hel	Heracleum t.
127	h	hei	Herniaria t.
677	s	hie	Hippophae rhamnoides
19	n	hi	Hippophae-hairs
182	l	hic	Hippuris vulgaris
399	h	hoa	Hordeum t.
696	h	hod	Hordeum t. cf.
503	l	ho	Hottonia palustris
484	h	hu	Humulus lupulus cf.
235	p	hub	Huperzia selago
183	l	hye	Hydrocharis morsus-ranae
513	l	hya	Hydrocotyle vulgaris
185	p	hyf	Hymenophyllum
181	h	hyd	Hypericum
400	h	hyb	Hypericum perforatum t.
711	n	hf	Hyphae fragments
528	n	hy	Hystrix 
530	s	il	Ilex aquifolium
401	h	im	Impatiens
689	x	inj	Indeterminate
100	i	ii	Indicator
679	i	inh	Indicator-charcoal
680	n	ini	Indicator-points
187	h	irb	Iris
186	l	ir	Iris pseudoacorus t.
188	l	isb	Isoetes echinospora
67	l	isa	Isoetes lacustris
427	h	jaa	Jasione montana
303	t	jua	Juglans
20	s	jj	Juniperus communis
428	h	kk	Knautia arvensis
268	h	ko	Koenigia islandica
65	h	laa	Lamiacae undiff.
16	t	lx	Larix
199	h	lag	Lathyrus maritimus
200	h	lah	Lathyrus palustris
201	h	lai	Lathyrus silvester
516	h	lae	Lathyrus undiff.
483	d	lea	Ledum palustre
429	l	lem	Lemna
495	p	lyf	Lepidotis inundata
102	h	lec	Leucojum/Galanthus
243	s	lil	Ligustrum vulgare
228	h	lii	Liliaceae undiff.
222	h	lih	Lilium
601	h	lim	Linaria
118	h	lif	Linnea borealis
229	h	lij	Linum austriacum
430	h	lic	Linum catharticum t.
230	h	lik	Linum perenne
431	h	liu	Linum usitatissimum
115	h	lie	Lithospermum t.
535	l	lid	Litorella uniflora
661	l	lok	Lobelia cf.
166	d	lof	Loiseleuria
486	s	lo	Lonicera
119	s	lob	Lonicera nigra
120	s	loc	Lonicera nigra/xylosteum
122	s	loe	Lonicera periclymenum
121	s	lod	Lonicera xylosteum t.
232	s	loh	Loranthus 
202	h	log	Lotus cf. corniculatus
653	h	loj	Lotus cf. uliginosus
533	h	pac	Lotus t.
505	h	lya	Lychnis flos-cuculi
457	h	vie	Lychnis viscaria 
603	h	lyo	Lycium
493	p	lyc	Lycopodium annotinum
433	p	lyd	Lycopodium clavatum
58	p	lyb	Lycopodium undiff.
508	h	lac	Lycopus t.
274	h	lym	Lysimachia nemorum
435	h	lyi	Lysimachia nummularia
275	h	ly	Lysimachia t.
436	l	lyj	Lysimachia thyrsiflora
437	h	lyk	Lysimachia vulgaris t.
438	h	lyl	Lythrum
223	h	mad	Majanthemum bifolium
544	t	mac	Malus t.
238	h	mae	Malva
203	h	mee	Medicago falcata
204	h	mef	Medicago sativa
440	p	mm	Briales
509	h	lab	Mentha t.
75	l	me	Menyanthes trifoliata
443	h	med	Mercurialis perennis
253	h	mo	Moneses
664	x	mt	Montia cf.
625	n	mu	Musci
116	h	myd	Myosotis
439	h	maa	Myosoton aquaticum cf.
15	s	my	Myrica gale
68	l	myh	Myriophyllum alternifolium
69	l	ms	Myriophyllum spicatum
676	l	myf	Myriophyllum spicatum/verticillatum
70	l	myc	Myriophyllum verticillatum
224	h	na	Narthecium ossifragum
520	n	ne	Nebela
239	l	nub	Nuphar
72	l	nua	Nuphar luteum
240	l	nuc	Nuphar pumilum
446	l	nn	Nymphaea alba
447	l	nyc	Nymphaea candida
622	n	nyf	Nymphaeaceae-hairs
623	n	nyg	Nymphaeaceae-idioblasts
236	l	nye	Nymphoides peltata
